STATEICP,DEGFIELDD,EDUCD,OCC_CODE,INCTOT,SEX,AGE,STATE,EDUCATION_LABEL,DEGFIELDD_NAME
41,5506,116,251000,151978,Male,51,Alabama,Doctoral degree,International Business
41,5404,114,211029,457102,Female,33,Alabama,Master's degree,Human Resources
41,6200,101,112022,151978,Female,31,Alabama,Bachelor's degree,Psychology
41,6206,101,112021,176996,Male,32,Alabama,Bachelor's degree,Organizational Psychology
41,2401,114,151212,112814,Male,27,Alabama,Master's degree,Aerospace Engineering
41,5301,116,331012,148471,Male,61,Alabama,Doctoral degree,Business Administration
41,6200,101,113013,166007,Male,26,Alabama,Bachelor's degree,Psychology
41,2408,101,532010,134781,Male,56,Alabama,Bachelor's degree,Electrical Engineering
41,6200,101,353011,140287,Male,26,Alabama,Bachelor's degree,Psychology
41,3700,114,251000,107554,Male,48,Alabama,Master's degree,Social Sciences
41,2408,101,172141,122751,Male,47,Alabama,Bachelor's degree,Electrical Engineering
41,2400,114,113021,169514,Male,48,Alabama,Master's degree,Engineering
41,5200,101,131151,111061,Male,34,Alabama,Bachelor's degree,Fine Arts
41,2502,116,251000,111061,Female,29,Alabama,Doctoral degree,Electrical Engineering Tech
41,2406,114,172011,124505,Male,38,Alabama,Master's degree,Civil Engineering
41,6107,114,002911,146132,Female,52,Alabama,Master's degree,Athletic Training
41,6107,114,291141,105215,Female,41,Alabama,Master's degree,Athletic Training
41,6203,101,151299,140287,Male,42,Alabama,Bachelor's degree,Developmental Psychology
41,6203,114,251000,210431,Male,58,Alabama,Master's degree,Developmental Psychology
41,6107,114,002911,114357,Female,45,Alabama,Master's degree,Athletic Training
41,5507,114,212011,116918,Male,53,Alabama,Master's degree,Business Administration
41,6201,101,132011,105215,Male,33,Alabama,Bachelor's degree,Clinical Psychology
41,4000,101,001191,128597,Female,42,Alabama,Bachelor's degree,Economics
41,2399,114,131041,128597,Female,49,Alabama,Master's degree,Miscellaneous Education
41,2599,101,411012,134442,Male,46,Alabama,Bachelor's degree,Miscellaneous Engineering Tech
41,2414,114,172131,118075,Male,37,Alabama,Master's degree,Mining Engineering
41,6209,115,532010,175359,Female,40,Alabama,Professional degree,Experimental Psychology
41,6103,101,292010,101708,Female,38,Alabama,Bachelor's degree,Pharmacy Technician
41,6203,101,119141,103813,Male,45,Alabama,Bachelor's degree,Developmental Psychology
41,6105,101,195010,189411,Female,64,Alabama,Bachelor's degree,Biomedical Sciences
41,5501,101,132070,137949,Female,53,Alabama,Bachelor's degree,Marketing
41,6200,101,131199,104046,Male,52,Alabama,Bachelor's degree,Psychology
41,2400,114,001191,204585,Male,34,Alabama,Master's degree,Engineering
41,5505,114,131081,133390,Male,49,Alabama,Master's degree,Entrepreneurship
41,6107,101,002310,116906,Male,29,Alabama,Bachelor's degree,Athletic Training
41,6201,101,537064,128597,Male,30,Alabama,Bachelor's degree,Clinical Psychology
41,6200,101,001110,233812,Male,42,Alabama,Bachelor's degree,Psychology
41,6201,101,001110,140287,Female,45,Alabama,Bachelor's degree,Clinical Psychology
41,6004,114,273042,118309,Male,32,Alabama,Master's degree,Medical Assisting
41,2408,114,001721,116906,Male,35,Alabama,Master's degree,Electrical Engineering
41,5003,115,431011,199909,Male,56,Alabama,Professional degree,Foreign Languages
41,6203,114,339030,173381,Male,54,Alabama,Master's degree,Developmental Psychology
41,6107,101,291141,114822,Female,54,Alabama,Bachelor's degree,Athletic Training
41,2407,114,151252,111377,Female,36,Alabama,Master's degree,Computer Engineering
41,6203,114,273042,109310,Male,35,Alabama,Master's degree,Developmental Psychology
41,6299,114,001191,101043,Female,32,Alabama,Master's degree,Miscellaneous Psychology
41,5301,114,001191,257201,Male,65,Alabama,Master's degree,Business Administration
41,2414,101,001721,212420,Male,58,Alabama,Bachelor's degree,Mining Engineering
41,5007,114,113121,215865,Male,44,Alabama,Master's degree,Humanities
41,6107,101,291141,110229,Female,46,Alabama,Bachelor's degree,Athletic Training
41,6209,101,131070,125270,Male,41,Alabama,Bachelor's degree,Experimental Psychology
41,2105,101,151241,117118,Male,40,Alabama,Bachelor's degree,Information Sciences
41,6212,101,113021,149268,Male,44,Alabama,Bachelor's degree,Abnormal Psychology
41,3401,114,414010,137786,Male,39,Alabama,Master's degree,Physical Sciences
41,1901,114,001110,422544,Female,54,Alabama,Master's degree,Communications
41,5200,101,132031,105636,Female,56,Alabama,Bachelor's degree,Fine Arts
41,2501,101,559830,177974,Male,35,Alabama,Bachelor's degree,Drafting and Design
41,5200,114,252050,121711,Female,51,Alabama,Master's degree,Fine Arts
41,5601,114,119021,212420,Male,51,Alabama,Master's degree,Consumer Sciences
41,6203,101,001191,184863,Male,50,Alabama,Bachelor's degree,Developmental Psychology
41,2310,114,251000,109195,Male,53,Alabama,Master's degree,Special Education
41,6201,114,151244,158684,Male,37,Alabama,Master's degree,Clinical Psychology
41,5502,114,532010,112525,Male,35,Alabama,Master's degree,Management Science
41,3700,115,212011,130897,Male,47,Alabama,Professional degree,Social Sciences
41,3301,115,001110,468473,Male,55,Alabama,Professional degree,Social Work
41,6107,116,002911,198871,Female,42,Alabama,Doctoral degree,Athletic Training
41,1901,101,131111,139049,Male,31,Alabama,Bachelor's degree,Communications
41,2408,114,001110,133216,Male,45,Alabama,Master's degree,Electrical Engineering
41,4901,114,212011,151565,Male,54,Alabama,Master's degree,Mechanical Engineering
41,3600,115,291210,126304,Male,39,Alabama,Professional degree,Chemistry
41,6107,101,291151,189456,Female,31,Alabama,Bachelor's degree,Athletic Training
41,2102,114,192099,110229,Male,34,Alabama,Master's degree,Computer Science
41,2102,101,151252,109081,Male,38,Alabama,Bachelor's degree,Computer Science
41,6204,101,113061,137786,Female,38,Alabama,Bachelor's degree,Cognitive Psychology
41,2408,101,518021,115970,Male,32,Alabama,Bachelor's degree,Electrical Engineering
41,2100,101,172051,128600,Male,34,Alabama,Bachelor's degree,Computer Science and IT
41,3600,114,291151,149268,Female,33,Alabama,Master's degree,Chemistry
41,5301,101,232093,148120,Male,54,Alabama,Bachelor's degree,Business Administration
41,2102,114,111021,130897,Female,51,Alabama,Master's degree,Computer Science
41,6107,114,002911,109081,Male,47,Alabama,Master's degree,Athletic Training
41,5901,114,519061,119070,Male,57,Alabama,Master's degree,Educational Leadership
41,6000,114,252020,422544,Male,26,Alabama,Master's degree,Nursing
41,4000,101,151251,195197,Male,55,Alabama,Bachelor's degree,Economics
41,6206,101,131081,133193,Male,48,Alabama,Bachelor's degree,Organizational Psychology
41,6107,114,002911,119415,Male,56,Alabama,Master's degree,Athletic Training
41,2409,115,151252,115970,Male,33,Alabama,Professional degree,Environmental Engineering
41,6002,114,172051,124007,Male,39,Alabama,Master's degree,Health Administration
41,6107,101,291141,103340,Female,46,Alabama,Bachelor's degree,Athletic Training
41,2499,114,172011,106784,Male,31,Alabama,Master's degree,Engineering Technologies
41,2400,101,001721,114822,Male,50,Alabama,Bachelor's degree,Engineering
41,6004,114,251000,121826,Male,46,Alabama,Master's degree,Medical Assisting
41,3600,101,519061,126878,Male,58,Alabama,Bachelor's degree,Chemistry
41,6200,101,414010,114822,Male,29,Alabama,Bachelor's degree,Psychology
41,2100,101,151252,143527,Male,30,Alabama,Bachelor's degree,Computer Science and IT
41,2301,116,436014,149268,Female,72,Alabama,Doctoral degree,Educational Administration
41,2100,101,151253,118094,Female,56,Alabama,Bachelor's degree,Computer Science and IT
41,6203,114,251000,105636,Male,56,Alabama,Master's degree,Developmental Psychology
41,2407,114,151241,109081,Male,53,Alabama,Master's degree,Computer Engineering
41,6207,114,411011,423692,Male,43,Alabama,Master's degree,Educational Psychology
41,5003,116,291210,295207,Female,56,Alabama,Doctoral degree,Foreign Languages
41,2599,101,112022,149268,Male,34,Alabama,Bachelor's degree,Miscellaneous Engineering Tech
41,2301,114,002530,103340,Male,31,Alabama,Master's degree,Educational Administration
41,5200,101,411011,114248,Male,49,Alabama,Bachelor's degree,Fine Arts
41,6107,114,291151,202660,Female,48,Alabama,Master's degree,Athletic Training
41,5301,114,151230,103340,Male,59,Alabama,Master's degree,Business Administration
41,6203,114,119030,515549,Male,74,Alabama,Master's degree,Developmental Psychology
41,2401,114,499071,137786,Male,35,Alabama,Master's degree,Aerospace Engineering
41,6201,101,119141,437392,Male,52,Alabama,Bachelor's degree,Clinical Psychology
41,5002,101,002530,101756,Male,29,Alabama,Bachelor's degree,Linguistics
41,2408,101,001191,185835,Male,47,Alabama,Bachelor's degree,Electrical Engineering
41,6206,114,551010,130017,Male,38,Alabama,Master's degree,Organizational Psychology
41,1901,101,113013,141643,Male,63,Alabama,Bachelor's degree,Communications
41,6203,115,113131,109915,Male,46,Alabama,Professional degree,Developmental Psychology
41,2408,101,131111,101983,Male,46,Alabama,Bachelor's degree,Electrical Engineering
41,6209,114,131023,113314,Female,51,Alabama,Master's degree,Experimental Psychology
41,6106,101,113071,100850,Male,40,Alabama,Bachelor's degree,Nutritional Science
41,6207,101,113051,111048,Male,47,Alabama,Bachelor's degree,Educational Psychology
41,3600,115,291210,226628,Female,44,Alabama,Professional degree,Chemistry
41,6100,114,113071,113314,Male,34,Alabama,Master's degree,General Medicine
41,5506,101,113071,100850,Male,40,Alabama,Bachelor's degree,International Business
41,2408,114,151252,135977,Male,53,Alabama,Master's degree,Electrical Engineering
41,2408,101,001721,170198,Male,55,Alabama,Bachelor's degree,Electrical Engineering
41,1902,101,001191,124645,Female,55,Alabama,Bachelor's degree,Journalism
41,6207,101,001191,118753,Male,43,Alabama,Bachelor's degree,Educational Psychology
41,3600,116,291051,113314,Male,56,Alabama,Doctoral degree,Chemistry
41,6200,114,551010,125779,Male,36,Alabama,Master's degree,Psychology
41,1103,114,211015,129178,Male,60,Alabama,Master's degree,Animal Sciences
41,5008,114,532010,111048,Male,34,Alabama,Master's degree,Interdisciplinary Humanities
41,6209,114,004330,105495,Female,43,Alabama,Master's degree,Experimental Psychology
41,6107,114,291141,453256,Male,55,Alabama,Master's degree,Athletic Training
41,6109,115,291123,277619,Female,50,Alabama,Professional degree,Mental Health Services
41,5301,101,131081,107648,Male,43,Alabama,Bachelor's degree,Business Administration
41,2401,114,532010,162039,Female,34,Alabama,Master's degree,Aerospace Engineering
41,6402,114,532010,166118,Male,36,Alabama,Master's degree,Human Development
41,6107,116,291041,106515,Female,35,Alabama,Doctoral degree,Athletic Training
41,2304,116,002530,135977,Male,44,Alabama,Doctoral degree,Elementary Education
41,2312,114,002530,135977,Female,46,Alabama,Master's degree,Teacher Education
41,2100,101,333012,129178,Male,46,Alabama,Bachelor's degree,Computer Science and IT
41,6200,114,002911,363738,Male,38,Alabama,Master's degree,Psychology
41,6107,101,291141,104249,Male,38,Alabama,Bachelor's degree,Athletic Training
41,6203,101,131081,166572,Male,63,Alabama,Bachelor's degree,Developmental Psychology
41,2407,101,131111,101983,Male,26,Alabama,Bachelor's degree,Computer Engineering
41,2414,114,002530,111048,Male,36,Alabama,Master's degree,Mining Engineering
41,6200,114,532010,143909,Male,36,Alabama,Master's degree,Psychology
41,6107,114,252020,113314,Female,35,Alabama,Master's degree,Athletic Training
41,4101,101,414010,117847,Female,28,Alabama,Bachelor's degree,General Engineering
41,3700,114,151212,162137,Female,51,Alabama,Master's degree,Social Sciences
41,2408,114,001721,129818,Male,36,Alabama,Master's degree,Electrical Engineering
41,5901,101,113071,152192,Male,55,Alabama,Bachelor's degree,Educational Leadership
41,2406,114,001721,116738,Female,33,Alabama,Master's degree,Civil Engineering
41,1301,114,172070,124305,Female,35,Alabama,Master's degree,Environmental Science
41,6201,114,132011,135654,Male,47,Alabama,Master's degree,Clinical Psychology
41,6203,114,131199,171865,Female,61,Alabama,Master's degree,Developmental Psychology
41,5506,101,551010,103768,Male,29,Alabama,Bachelor's degree,International Business
41,2406,101,151252,108091,Male,53,Alabama,Bachelor's degree,Civil Engineering
41,2400,101,001191,144086,Male,51,Alabama,Bachelor's degree,Engineering
41,2306,101,001191,124305,Male,28,Alabama,Bachelor's degree,Physical and Health Education
41,6100,101,291141,108091,Female,27,Alabama,Bachelor's degree,General Medicine
41,2300,114,119111,447497,Male,38,Alabama,Master's degree,Education
41,2100,101,151230,107010,Male,29,Alabama,Bachelor's degree,Computer Science and IT
41,6200,101,151299,134033,Male,50,Alabama,Bachelor's degree,Psychology
41,5301,101,002530,124305,Male,52,Alabama,Bachelor's degree,Business Administration
41,6200,101,291071,501543,Male,37,Alabama,Bachelor's degree,Psychology
41,6200,101,419020,545860,Male,65,Alabama,Bachelor's degree,Psychology
41,5404,114,132031,113280,Female,54,Alabama,Master's degree,Human Resources
41,2100,101,151252,129720,Male,38,Alabama,Bachelor's degree,Computer Science and IT
41,5007,101,131082,103768,Male,52,Alabama,Bachelor's degree,Humanities
41,6201,115,291210,447497,Male,67,Alabama,Professional degree,Clinical Psychology
41,1902,101,131070,447497,Female,25,Alabama,Bachelor's degree,Journalism
41,5901,101,532010,113280,Male,50,Alabama,Bachelor's degree,Educational Leadership
41,2405,116,119041,151328,Male,58,Alabama,Doctoral degree,Chemical Engineering
41,2106,101,151212,155651,Male,43,Alabama,Bachelor's degree,Information Security
41,5007,101,172110,107475,Male,54,Alabama,Bachelor's degree,Humanities
41,3600,116,291210,172946,Male,39,Alabama,Doctoral degree,Chemistry
41,2310,114,000439,118900,Female,59,Alabama,Master's degree,Special Education
41,6203,101,113121,162137,Male,51,Alabama,Bachelor's degree,Developmental Psychology
41,3401,116,001191,277794,Male,60,Alabama,Doctoral degree,Physical Sciences
41,2412,114,559830,108091,Male,44,Alabama,Master's degree,Mechanical Engineering
41,5504,114,552010,104848,Male,37,Alabama,Master's degree,Real Estate
41,5301,114,553010,108091,Male,36,Alabama,Master's degree,Business Administration
41,2414,101,518010,146788,Male,46,Alabama,Bachelor's degree,Mining Engineering
41,6207,114,131199,116738,Male,43,Alabama,Master's degree,Educational Psychology
41,1903,101,111021,183863,Male,49,Alabama,Bachelor's degree,Mass Media
41,2307,101,252010,123764,Female,36,Alabama,Bachelor's degree,Early Childhood Education
41,2408,114,433051,117819,Male,42,Alabama,Master's degree,Electrical Engineering
41,5301,101,333021,137276,Male,43,Alabama,Bachelor's degree,Business Administration
41,6107,116,119111,104848,Female,42,Alabama,Doctoral degree,Athletic Training
41,6102,114,002911,129709,Female,36,Alabama,Master's degree,Dentistry
41,4101,114,272022,102687,Male,40,Alabama,Master's degree,General Engineering
41,5506,114,002530,117819,Female,40,Alabama,Master's degree,International Business
41,6203,101,312020,129709,Male,30,Alabama,Bachelor's degree,Developmental Psychology
41,4000,101,152031,114577,Male,33,Alabama,Bachelor's degree,Economics
41,2102,101,151212,132304,Male,26,Alabama,Bachelor's degree,Computer Science
41,2408,114,172070,140519,Male,41,Alabama,Master's degree,Electrical Engineering
41,6204,101,113061,162461,Female,64,Alabama,Bachelor's degree,Cognitive Psychology
41,2406,116,251000,449659,Female,64,Alabama,Doctoral degree,Civil Engineering
41,4901,115,172051,102687,Male,59,Alabama,Professional degree,Mechanical Engineering
41,6200,115,172110,124305,Male,62,Alabama,Professional degree,Psychology
41,2406,101,471011,448578,Male,37,Alabama,Bachelor's degree,Civil Engineering
41,6201,101,411012,162137,Male,63,Alabama,Bachelor's degree,Clinical Psychology
41,3401,101,291141,100525,Male,37,Alabama,Bachelor's degree,Physical Sciences
41,2414,101,273043,110253,Male,47,Alabama,Bachelor's degree,Mining Engineering
41,5901,114,151252,137276,Male,32,Alabama,Master's degree,Educational Leadership
41,2307,114,131199,110253,Female,38,Alabama,Master's degree,Early Childhood Education
41,2102,101,151252,100525,Male,43,Alabama,Bachelor's degree,Computer Science
41,6107,101,001110,178350,Female,51,Alabama,Bachelor's degree,Athletic Training
41,5504,114,519061,156732,Male,51,Alabama,Master's degree,Real Estate
41,3600,116,291210,447497,Male,31,Alabama,Doctoral degree,Chemistry
41,2102,101,151251,111334,Male,37,Alabama,Bachelor's degree,Computer Science
41,2309,114,119030,140519,Male,46,Alabama,Master's degree,Secondary Education
41,3600,115,291210,447497,Male,39,Alabama,Professional degree,Chemistry
41,5005,114,559830,138357,Male,35,Alabama,Master's degree,Philosophy
41,6107,115,002530,175464,Female,61,Alabama,Professional degree,Athletic Training
41,2300,101,419020,214000,Female,54,Alabama,Bachelor's degree,Education
41,5501,101,112022,200000,Male,65,Alabama,Bachelor's degree,Marketing
41,6203,114,113051,105000,Male,42,Alabama,Master's degree,Developmental Psychology
41,2407,114,151252,100000,Male,41,Alabama,Master's degree,Computer Engineering
41,6200,101,001191,452000,Male,51,Alabama,Bachelor's degree,Psychology
41,5200,114,119030,260400,Male,59,Alabama,Master's degree,Fine Arts
41,6002,115,151251,125000,Male,60,Alabama,Professional degree,Health Administration
41,2102,114,113021,100000,Male,40,Alabama,Master's degree,Computer Science
41,2305,114,002590,120000,Female,28,Alabama,Master's degree,Mathematics Education
41,6200,101,519041,200000,Male,45,Alabama,Bachelor's degree,Psychology
41,6203,114,559830,123000,Male,34,Alabama,Master's degree,Developmental Psychology
41,5200,101,291141,100000,Female,27,Alabama,Bachelor's degree,Fine Arts
41,6107,114,002911,141000,Female,62,Alabama,Master's degree,Athletic Training
41,6200,101,001191,175000,Male,61,Alabama,Bachelor's degree,Psychology
41,2300,116,119030,115000,Male,54,Alabama,Doctoral degree,Education
41,3603,116,291151,188000,Female,29,Alabama,Doctoral degree,Oceanography
41,5506,115,251000,146000,Male,51,Alabama,Professional degree,International Business
41,5506,101,291123,100000,Male,47,Alabama,Bachelor's degree,International Business
41,6200,101,413021,100000,Female,39,Alabama,Bachelor's degree,Psychology
41,6200,101,333050,149000,Male,42,Alabama,Bachelor's degree,Psychology
41,6107,116,002911,452000,Male,45,Alabama,Doctoral degree,Athletic Training
41,3600,115,291210,120000,Female,33,Alabama,Professional degree,Chemistry
41,2406,114,132051,300100,Male,28,Alabama,Master's degree,Civil Engineering
41,2501,114,291141,110000,Female,29,Alabama,Master's degree,Drafting and Design
41,2401,114,552010,140000,Male,44,Alabama,Master's degree,Aerospace Engineering
41,4901,116,212011,108000,Male,63,Alabama,Doctoral degree,Mechanical Engineering
41,6203,114,559830,100000,Male,35,Alabama,Master's degree,Developmental Psychology
41,6200,114,414010,155000,Male,48,Alabama,Master's degree,Psychology
41,2414,101,172141,115000,Male,37,Alabama,Bachelor's degree,Mining Engineering
41,6200,101,132052,197700,Male,65,Alabama,Bachelor's degree,Psychology
41,6206,101,131023,211000,Female,80,Alabama,Bachelor's degree,Organizational Psychology
41,6004,101,339030,107800,Male,41,Alabama,Bachelor's degree,Medical Assisting
41,5098,101,001110,175800,Male,49,Alabama,Bachelor's degree,Miscellaneous Humanities
41,2106,101,151212,151200,Female,33,Alabama,Bachelor's degree,Information Security
41,6107,101,291141,101000,Female,38,Alabama,Bachelor's degree,Athletic Training
41,6003,114,172011,109000,Female,38,Alabama,Master's degree,Public Health
41,2309,116,119030,155000,Female,51,Alabama,Doctoral degree,Secondary Education
41,6203,101,559830,136000,Male,39,Alabama,Bachelor's degree,Developmental Psychology
41,5301,114,151253,100000,Male,54,Alabama,Master's degree,Business Administration
41,6200,116,251000,295000,Male,55,Alabama,Doctoral degree,Psychology
41,6107,114,291141,130000,Female,26,Alabama,Master's degree,Athletic Training
41,6203,101,113031,160010,Male,55,Alabama,Bachelor's degree,Developmental Psychology
41,6203,114,131081,249700,Male,49,Alabama,Master's degree,Developmental Psychology
41,5004,101,019204,150050,Male,61,Alabama,Bachelor's degree,Comparative Literature
41,6203,101,001191,216900,Male,49,Alabama,Bachelor's degree,Developmental Psychology
41,6107,101,119030,121000,Female,48,Alabama,Bachelor's degree,Athletic Training
41,2599,115,172011,190400,Male,52,Alabama,Professional degree,Miscellaneous Engineering Tech
41,2102,101,151252,115000,Male,30,Alabama,Bachelor's degree,Computer Science
41,6002,116,251000,110000,Male,60,Alabama,Doctoral degree,Health Administration
41,6201,116,002310,200000,Male,59,Alabama,Doctoral degree,Clinical Psychology
41,3301,116,291210,492000,Male,75,Alabama,Doctoral degree,Social Work
41,3600,114,131041,116500,Male,41,Alabama,Master's degree,Chemistry
41,6107,101,002530,103000,Female,29,Alabama,Bachelor's degree,Athletic Training
41,2300,101,002530,175000,Male,56,Alabama,Bachelor's degree,Education
41,2307,114,119030,112000,Female,50,Alabama,Master's degree,Early Childhood Education
41,5200,101,002911,100000,Female,29,Alabama,Bachelor's degree,Fine Arts
41,5506,115,001930,165000,Male,36,Alabama,Professional degree,International Business
41,1301,101,131082,196000,Male,45,Alabama,Bachelor's degree,Environmental Science
41,3700,116,291210,200000,Male,58,Alabama,Doctoral degree,Social Sciences
81,2400,101,131082,164954,Male,34,Alaska,Bachelor's degree,Engineering
81,2307,101,252020,104046,Female,39,Alaska,Bachelor's degree,Early Childhood Education
81,2307,101,252020,104046,Female,39,Alaska,Bachelor's degree,Early Childhood Education
81,3600,115,291210,175359,Male,33,Alaska,Professional degree,Chemistry
81,3600,114,251000,112931,Male,38,Alaska,Master's degree,Chemistry
81,6107,115,119111,100656,Male,65,Alaska,Professional degree,Athletic Training
81,5506,101,411012,116906,Male,32,Alaska,Bachelor's degree,International Business
81,6104,101,291292,105215,Female,23,Alaska,Bachelor's degree,Radiological Sciences
81,6206,101,552010,118075,Male,29,Alaska,Bachelor's degree,Organizational Psychology
81,6212,114,431011,148704,Female,43,Alaska,Master's degree,Abnormal Psychology
81,6107,101,291141,107554,Female,59,Alaska,Bachelor's degree,Athletic Training
81,1401,101,131199,195350,Female,49,Alaska,Bachelor's degree,Architecture
81,2100,114,113021,174190,Male,53,Alaska,Master's degree,Computer Science and IT
81,3401,115,372012,514503,Male,27,Alaska,Professional degree,Physical Sciences
81,4007,101,001191,128597,Male,41,Alaska,Bachelor's degree,Public Policy
81,3301,114,113013,187050,Male,48,Alaska,Master's degree,Social Work
81,6107,114,002911,192895,Female,30,Alaska,Master's degree,Athletic Training
81,5503,114,019303,116906,Female,50,Alaska,Master's degree,Supply Chain Management
81,6207,101,131131,103228,Female,33,Alaska,Bachelor's degree,Educational Psychology
81,5301,101,333021,166942,Male,49,Alaska,Bachelor's degree,Business Administration
81,3301,101,291141,127428,Female,39,Alaska,Bachelor's degree,Social Work
81,5401,115,002310,107554,Female,36,Alaska,Professional degree,Business
81,2304,114,252020,106501,Male,56,Alaska,Master's degree,Elementary Education
81,3401,114,252020,107670,Female,44,Alaska,Master's degree,Physical Sciences
81,5007,101,001191,102994,Male,34,Alaska,Bachelor's degree,Humanities
81,5301,101,475032,105215,Male,37,Alaska,Bachelor's degree,Business Administration
81,2311,101,252020,105215,Male,56,Alaska,Bachelor's degree,Social Science Education
81,3609,115,399011,112230,Male,37,Alaska,Professional degree,Environmental Science
81,3401,101,113121,174070,Female,46,Alaska,Bachelor's degree,Physical Sciences
81,5501,116,251000,126361,Female,51,Alaska,Doctoral degree,Marketing
81,5502,101,436014,104488,Male,33,Alaska,Bachelor's degree,Management Science
81,2304,114,252020,109770,Female,44,Alaska,Master's degree,Elementary Education
81,2304,114,252020,118416,Female,40,Alaska,Master's degree,Elementary Education
81,6107,101,291141,105131,Male,41,Alaska,Bachelor's degree,Athletic Training
81,2408,101,472152,103340,Male,40,Alaska,Bachelor's degree,Electrical Engineering
81,2414,101,414010,130897,Female,29,Alaska,Bachelor's degree,Mining Engineering
81,2602,114,252030,108621,Female,53,Alaska,Master's degree,Biochemistry
81,2400,101,172051,149268,Male,57,Alaska,Bachelor's degree,Engineering
81,2300,114,252020,107932,Female,53,Alaska,Master's degree,Education
81,2304,114,119030,104717,Female,51,Alaska,Master's degree,Elementary Education
81,6103,114,113071,218161,Male,58,Alaska,Master's degree,Pharmacy Technician
81,5504,101,113021,114822,Male,37,Alaska,Bachelor's degree,Real Estate
81,6200,114,001191,114822,Female,61,Alaska,Master's degree,Psychology
81,2307,114,131199,139279,Female,32,Alaska,Master's degree,Early Childhood Education
81,2300,114,552010,140657,Male,48,Alaska,Master's degree,Education
81,5301,101,119161,360770,Male,38,Alaska,Bachelor's degree,Business Administration
81,5003,116,291051,166491,Female,54,Alaska,Doctoral degree,Foreign Languages
81,2304,114,002590,125427,Female,43,Alaska,Master's degree,Elementary Education
81,2300,101,252020,107195,Male,50,Alaska,Bachelor's degree,Education
81,3699,116,251000,104022,Female,42,Alaska,Doctoral degree,Misc. Physical Sciences
81,4101,114,119030,113314,Female,47,Alaska,Master's degree,General Engineering
81,4901,114,559830,219263,Male,49,Alaska,Master's degree,Mechanical Engineering
81,2304,114,252030,158640,Male,58,Alaska,Master's degree,Elementary Education
81,6201,114,431011,125892,Female,53,Alaska,Master's degree,Clinical Psychology
81,6107,101,291141,148668,Female,29,Alaska,Bachelor's degree,Athletic Training
81,3600,101,431011,171784,Male,48,Alaska,Bachelor's degree,Chemistry
81,6107,101,291141,109461,Female,29,Alaska,Bachelor's degree,Athletic Training
81,5901,101,532010,222096,Male,32,Alaska,Bachelor's degree,Educational Leadership
81,2304,116,119030,113314,Female,51,Alaska,Doctoral degree,Elementary Education
81,3301,114,212011,103116,Male,48,Alaska,Master's degree,Social Work
81,5500,114,111021,146855,Male,46,Alaska,Master's degree,Management Information Systems
81,5901,101,532010,139365,Male,39,Alaska,Bachelor's degree,Educational Leadership
81,2304,114,252020,103768,Female,46,Alaska,Master's degree,Elementary Education
81,6203,101,001191,111334,Female,51,Alaska,Bachelor's degree,Developmental Psychology
